Datetime,LMP,HenryHub
2015-01-11,35.929275,2.96
2015-01-12,42.68162958333335,2.9
2015-01-13,40.16871416666667,2.92
2015-01-14,40.068915000000004,3.15
2015-01-15,46.17532458333333,3.32
2015-01-16,45.57357666666667,3.11
2015-01-17,40.99725916666667,3.11
2015-01-18,32.87150458333333,3.11
2015-01-19,36.36549875,3.11
2015-01-20,44.3438875,2.94
2015-01-21,42.98550791666667,2.94
2015-01-22,47.41054499999999,2.95
2015-01-23,45.70269416666667,2.96
2015-01-24,41.438040833333346,2.96
2015-01-25,31.557621666666666,2.96
2015-01-26,47.143610833333334,2.92
2015-01-27,47.974540000000005,2.96
2015-01-28,46.51008250000001,2.89
2015-01-29,45.636601666666664,2.88
2015-01-30,44.06912041666667,2.88
2015-01-31,35.64905250000001,2.88
2015-02-01,33.84421791666667,2.88
2015-02-02,40.362946666666666,2.88
2015-02-03,38.51016041666667,2.67
2015-02-04,39.34874958333333,2.73
2015-02-05,37.97991416666667,2.66
2015-02-06,36.90053583333334,2.66
2015-02-07,32.117815416666666,2.66
2015-02-08,28.823870000000007,2.66
2015-02-09,36.85196416666668,2.62
2015-02-10,38.27898458333333,2.67
2015-02-11,39.99819291666665,2.86
2015-02-12,42.826501666666665,2.86
2015-02-13,42.7753675,2.75
2015-02-14,33.26939458333333,2.75
2015-02-15,29.313274166666666,2.75
2015-02-16,37.94212083333333,2.75
2015-02-17,31.68614125,2.75
2015-02-18,36.89485458333333,2.92
2015-02-19,37.03817375000001,2.92
2015-02-20,30.01529666666667,3.02
2015-02-21,31.011915,3.02
2015-02-22,31.010683333333336,3.02
2015-02-23,32.37618625,3.22
2015-02-24,33.51832916666666,3.22
2015-02-25,33.72569458333333,3.21
2015-02-26,32.25636416666667,3.21
2015-02-27,31.022135,2.79
2015-02-28,30.13176416666666,2.79
2015-03-01,30.901085000000005,2.79
2015-03-02,39.242692916666655,2.79
2015-03-03,35.78461624999999,3.0
2015-03-04,40.55123583333333,3.27
2015-03-05,37.332266666666655,3.27
2015-03-06,40.41012416666667,2.89
2015-03-07,35.018621249999995,2.89
2015-03-08,30.72515958333333,2.89
2015-03-09,37.955450833333344,2.75
2015-03-10,38.18689499999999,2.76
2015-03-11,40.42379791666667,2.76
2015-03-12,42.48686666666666,2.82
2015-03-13,40.81734625,2.72
2015-03-14,35.949667083333345,2.72
2015-03-15,31.465860833333334,2.72
2015-03-16,37.71867166666666,2.68
