Word,PhonDISC,num_sylls_est,num_homophones,neighborhood_size,p_normalized,meanings,num_phones,normalized_surprisal
murderousness,m3d@r@snIs,4,0,0,2.084842526771268e-09,1,10,1.1910152823688909
muscularly,mVskjUl@lI,4,0,0,4.419296658003886e-06,1,10,0.8583872925111032
musically,mjuzIk@lI,4,0,0,1.8869779662066013e-06,1,9,0.9948288057641683
mustachio,m@st#SI5,4,0,0,0.0003819038785954,1,8,0.830909001481399
mycology,m2kQl@_I,4,0,1,6.7196172820081e-05,1,8,0.9252351928180121
myelitis,m2@l2tIs,4,0,0,0.0001437713029561,1,8,0.8839442340351855
mysteriously,mIst7r7slI,4,0,0,7.436626043362736e-06,1,10,0.8357850137724396
mysteriousness,mIst7r7snIs,4,0,0,4.876968999686573e-06,1,11,0.7764614623544213
mystically,mIstIk@lI,4,0,0,0.0321551274931652,1,9,0.5246639827827351
mysticism,mIstIsIz@m,4,0,0,8.74352182580382e-05,1,10,0.7287539682445046
mystification,mIstIfIk1SH,4,0,0,0.0001211132579306,1,11,0.6496394903788258
mythological,mIT@lQ_IkP,4,0,0,9.38378722286223e-06,1,10,0.8256847929315836
mythologist,mITQl@_Ist,4,0,0,0.0014956240104007,1,10,0.6054403652317599
mythology,mITQl@_I,4,0,0,0.0030286985954724,1,8,0.7184962530956293
narcissism,n#sIsIz@m,4,0,0,0.0061356178722411,1,9,0.6045964196778147
narcissistic,n#sIsIstIk,4,0,0,9.093521401103071e-06,1,10,0.8270493987694477
nasality,n1z{l@tI,4,0,0,4.504619593053195e-08,1,8,1.3219459949294443
nasalization,n1z@l2z1SH,4,0,0,1.1345097375163028e-08,1,10,1.1174417853124718
nationalism,n{SH@lIz@m,4,0,1,0.0083441464522768,1,10,0.5307844162914099
nationalistic,n{SH@lIstIk,4,0,1,0.0005871643893846,1,11,0.5873151247729936
nationalization,n{SH@l2z1SH,4,0,1,0.0031856490344207,1,11,0.5205480139453592
nativity,n@tIv@tI,4,1,0,1.7640561079322488e-06,2,8,1.122839210830408
naturalism,n{Jr@lIz@m,4,0,0,4.027743199971948e-05,1,10,0.7624164307813158
naturalistic,n{Jr@lIstIk,4,0,0,5.1163903772429485e-06,1,11,0.7745693097693206
naturalization,n{Jr@l2z1SH,4,0,0,1.4679529832658242e-05,1,11,0.7329558122759567
naturism,n1J@rIz@m,4,0,0,6.081986892647429e-07,1,9,1.0494645112291063
naturopath,n1J@r5p{T,4,0,0,1.1506575822686508e-11,1,9,1.5742533308133337
nautically,n$tIk@lI,4,0,0,0.0015642032350981,1,8,0.7543666126442764
navigator,n{vIg1t@R,4,0,0,1.6840183964051364e-05,1,9,0.889208805494175
Naziism,n#tsIIz@m,4,0,1,8.42837580384577e-14,1,9,1.8114980210286704
Neanderthal,nI{nd@t#l,4,1,0,8.062799544719902e-15,2,9,1.924748913144934
Neapolitan,n7pQlIt@n,4,1,0,3.140574636678671e-12,2,9,1.636912995768879
nearsightedly,n7s2tIdlI,4,0,0,2.775593372341062e-09,1,9,1.3095411376802935
nearsightedness,n7s2tIdnIs,4,0,0,1.372862659716478e-09,1,10,1.2091598988045003
nebulousness,nEbjUl@snIs,4,0,0,0.0002784983364838,1,11,0.6167639523193675
necessaries,nEs@s@rIz,4,0,1,4.27414060723438e-06,1,9,0.9553752528650578
necessary,nEs@s@rI,4,0,1,0.0014715907586778,1,8,0.7576798786301547
necessitate,nIsEsIt1t,4,0,0,2.894038410950044e-11,1,9,1.5297468655500015
necessitous,nIsEsIt@s,4,0,0,2.3278549988240383e-11,1,9,1.5402522395701521
necessity,nIsEs@tI,4,0,0,1.0595583312387496e-10,1,8,1.6505126512820134
necromancer,nEkr5m{ns@R,4,0,0,4.356157319529561e-13,1,11,1.4172838659376967
necromancy,nEkr5m{nsI,4,0,0,2.718358525730552e-11,1,10,1.3794919345417644
necrophilia,nEkr5fIl7,4,0,0,7.554220341642079e-11,1,9,1.4834484925258486
necropolis,nEkrQp@lIs,4,0,0,4.0295648477109215e-11,1,10,1.3623967931661272
nefariously,nIf8r7slI,4,0,0,1.2971466991122091e-06,1,9,1.0129152206766188
nefariousness,nIf8r7snIs,4,0,0,1.0619323197583954e-06,1,10,0.9203129242225945
negatively,nEg@tIvlI,4,0,0,9.817814167229148e-09,1,9,1.248579030383918
neglectfully,nIglEktfUlI,4,0,1,2.827704550738996e-10,1,11,1.1616174591047759
neglectfulness,nIglEktfUlnIs,4,0,0,2.6002051267209405e-10,1,13,0.9857091131294428
negligently,nEglI_@ntlI,4,0,0,2.669923322704752e-12,1,11,1.3457024810763891
negligibly,nEglI_@blI,4,0,0,7.480039573501306e-12,1,10,1.4355322185392638
negotiate,nIg5SI1t,4,0,0,1.569055134401653e-09,1,8,1.504198484570397
negotiation,nIg5SI1SH,4,0,0,2.3424148331014503e-10,1,9,1.4288402523784827
neighbourliness,n1b@lInIs,4,0,0,1.3838201390337644e-05,1,9,0.8986829371359535
neoclassic,ni5kl{sIk,4,0,1,1.6607189495789984e-11,1,9,1.5565477710802476
neoclassical,ni5kl{sIkP,4,0,1,7.992210768441722e-12,1,10,1.4326559152451868
neolithic,ni5lITIk,4,0,0,6.906160221665334e-10,1,8,1.5487486789043745
neoplasm,ni5pl{z@m,4,0,0,6.722884578093008e-10,1,9,1.3779633806431921
nepotism,nEp@tIz@m,4,0,0,5.427595862370743e-08,1,9,1.166068730911269
Netherlander,nED@l@nd@R,4,0,0,5.649872103071765e-13,1,10,1.5477187464171496
neurasthenia,nj9r@sTinj@,4,0,0,2.466009780169105e-19,1,11,1.985202844204368
neurasthenic,nj9r@sTEnIk,4,1,0,3.174708517726927e-15,2,11,1.6115929294288185
neurologist,nj9rQl@_Ist,4,0,0,1.1752083982946491e-09,1,11,1.1053737449602288
neurology,nj9rQl@_I,4,0,0,2.379844132315518e-09,1,9,1.3169641741122167
neutrality,njutr{l@tI,4,0,0,3.606620101032328e-07,1,10,0.9672125682075239
neutralization,njutr@l2z1SH,4,0,0,3.712851073547291e-05,1,12,0.6382932126135127
neutralizer,njutr@l2z@R,4,0,0,3.278950961741057e-06,1,11,0.7921355599345048
nevertheless,nEv@D@lEs,4,0,0,4.561079302739532e-15,1,9,1.9522398286227656
Nicaragua,nIk@r{gj9,4,0,1,1.107528198707636e-17,1,9,2.242763476481943
Nicaraguan,nIk@r{gj9n,4,1,1,5.219810712459121e-18,2,10,2.0511571326580103
niggardliness,nIg@dlInIs,4,0,0,1.7180334022339414e-09,1,10,1.1994194477730176
nightmarishly,n2tm8rISlI,4,0,0,5.667946554411069e-13,1,10,1.5475800334479666
nightmarishness,n2tm8rISnIs,4,0,0,5.167398444210773e-13,1,11,1.410541284618282
nihilism,n2IlIz@m,4,0,0,2.2592592818606623e-10,1,8,1.6094075007152688
nihilistic,n2IlIstIk,4,0,0,2.742199980899501e-11,1,9,1.532347439715579
nobility,n5bIl@tI,4,0,1,3.0166328959993384e-06,1,8,1.0937129522818867
noctambulist,nQkt{mbjUlIst,4,0,0,4.898470801802191e-13,1,13,1.1953204274780527
nocturnally,nQkt3n@lI,4,0,0,9.552786403587831e-11,1,9,1.4721217793013261
nodulated,nQdjul1tId,4,0,0,1.6338635800064375e-10,1,10,1.3016010288773432
nom.,nQmIn@tIv,4,2,0,1.888060227782572e-05,3,9,0.8836900263388343
nomenclature,n5mEnkl@J@R,4,0,0,4.9039885496841066e-17,1,11,1.7762433303127814
nominally,nQmIn@lI,4,0,0,4.103201053171758e-05,1,8,0.95201291042377
nonalignment,nQn@l2nm@nt,4,0,0,1.8602516737843765e-08,1,11,0.9963322160860898
nonassertive,nQn@s3tIv,4,0,0,2.1148506585252924e-06,1,9,0.9893273751217342
nonchalantly,nQnS@l@ntlI,4,0,0,5.3764818476830254e-11,1,11,1.2271570815509987
noncombatant,nQnkQmb@t@nt,4,0,0,9.772137779495196e-09,1,12,0.9366030416134733
noncommittally,nQnk@mItlI,4,0,0,1.1692055516352252e-06,1,10,0.9161335212106229
nonconductor,nQnk@ndVkt@R,4,0,0,4.366891137786295e-05,1,12,0.6324211429489904
nonconformist,nQnk@nf$mIst,4,3,0,7.245693395315784e-07,4,12,0.7807621773493447
nonentity,nQnEnt@tI,4,0,0,1.0647866739729404e-12,1,9,1.6891070526337622
noninflammable,nQnInfl{m@bP,4,0,0,3.454238088621608e-12,1,12,1.2242394843538984
nonintervention,nQnInt@vEnSH,4,0,0,9.539338567462548e-11,1,12,1.1041423181668921
nonobservance,nQn@bz3v@ns,4,0,0,1.7016088662414804e-11,1,11,1.2725787582840398
nonresident,nQnrEzId@nt,4,1,0,2.055837340936338e-11,2,11,1.2651124846247048
nonrestrictive,nQnrIstrIktIv,4,0,0,1.1236297754483007e-11,1,13,1.0906617570553137
nonverbally,nQnv3b@lI,4,0,0,1.8270370180307106e-07,1,9,1.1074976371259222
nonviolence,nQnv2@l@ns,4,0,1,0.0005120570349686,1,10,0.6519907743785313
nonviolent,nQnv2@l@nt,4,0,1,0.0006574424115511,1,10,0.6411368363971095
normality,n$m{l@tI,4,0,1,6.036117640538404e-05,1,8,0.9310585481971635
normalization,n$m@l2z1SH,4,0,1,3.4606841942160806e-05,1,10,0.7690064111490686
northeasterly,n$Tist@lI,4,0,0,0.0004845408288675,1,9,0.7270995225589583
northwesterly,n$TwEst@lI,4,0,0,5.8708262962684445e-06,1,10,0.846052685008751
noticeably,n5tIs@blI,4,0,0,4.729634772642639e-08,1,9,1.1727109417290351
notifiable,n5tIf2@bP,4,0,0,2.145542168618325e-08,1,9,1.210854336257269
notification,n5tIfIk1SH,4,0,0,3.03957073972769e-07,1,10,0.9746413825773897
notoriously,n5t$r7slI,4,0,0,9.390566768604793e-08,1,9,1.1396149195526823
notoriousness,n5t$r7snIs,4,0,0,3.080902818913391e-08,1,10,1.0740548081360244
notwithstanding,nQtwITst{ndIN,4,2,0,5.109402433362096e-21,3,13,1.809296613109654
novelettish,nQv@lEtIS,4,0,0,1.0081757821146677e-12,1,9,1.6917433133435626
nugatory,njug@t@rI,4,0,0,8.372900585490851e-09,1,9,1.2562611273574213
nullification,nVlIfIk1SH,4,0,0,8.839667906399806e-09,1,10,1.1282790131417622
numeracy,njum@r@sI,4,0,3,0.0001511435860004,1,9,0.7833151509929387
numerary,njum@r@rI,4,0,1,0.0001810805898527,1,9,0.7745949089355686
numerator,njum@r1t@R,4,0,0,0.0002624488596472,1,10,0.6810181390840448
numerously,njum@r@slI,4,0,2,0.0011365837125756,1,10,0.6173624652673878
numerousness,njum@r@snIs,4,0,0,0.000306404018725,1,11,0.6129937839830419
numinousness,njumIn@snIs,4,0,0,2.018542374741252e-06,1,11,0.8112898372767369
numismatic,njumIzm{tIk,4,0,1,7.19983305051765e-11,1,11,1.215627604979648
numismatics,njumIzm{tIks,4,0,1,8.155756218595953e-12,1,12,1.193146820416006
numismatist,njumIzm@tIst,4,0,0,1.0242624978425045e-13,1,12,1.3515679007573496
nutritiously,njutrIS@slI,4,0,0,0.0007704238927741,1,11,0.5765905761848953
nymphomania,nImf5m1n7,4,0,0,9.780302614062303e-15,1,9,1.9154304209267972
obbligato,QblIg#t5,4,0,0,6.725360133293536e-08,1,8,1.300188816972626
obduracy,QbdjUr@sI,4,0,0,3.806349024389074e-13,1,9,1.738746385818944
obdurately,QbdjUr@tlI,4,0,0,5.112830391279646e-13,1,10,1.552056469487169
obediently,@bidj@ntlI,4,0,0,0.0001836721838734,1,10,0.6965182691106983
obesity,5bisItI,4,0,0,5.122019885549803e-12,1,7,2.0742549743847527
obituary,@bIJ9rI,4,0,0,0.0001146168671318,1,7,1.0242825067682237
objectionably,@b_EkSH@blI,4,0,0,1.5697680248743462e-06,1,11,0.8212173274881424
objectively,@b_EktIvlI,4,0,1,0.000232699376012,1,10,0.6862430862199396
obligingly,@bl2_INlI,4,0,0,2.3944100570498293e-05,1,9,0.8722252836611206
obliquity,@blIkw@tI,4,0,0,8.646136782742947e-10,1,9,1.3658226643427485
obliterate,@blIt@r1t,4,0,1,3.824192910610419e-09,1,9,1.2940762543186377
obliteration,@blIt@r1SH,4,0,1,5.9598518659720114e-09,1,10,1.1453990615572702
obliviously,@blIv7slI,4,0,0,1.714589590037751e-11,1,9,1.5550073220329033
obliviousness,@blIv7snIs,4,0,0,1.584569995679096e-11,1,10,1.402931465274992
obnoxiously,@bnQkS@slI,4,0,0,3.0842793490532266e-11,1,10,1.3740072374880086
obnoxiousness,@bnQkS@snIs,4,0,0,2.4016034677700103e-11,1,11,1.25897497990218
obscenity,@bsEn@tI,4,0,0,2.3860656000419447e-05,1,8,0.9814429626715957
obscurantist,Qbskj9r{ntIst,4,0,0,3.3363471221145273e-16,1,13,1.4389196039607666
obscurity,@bskj9r@tI,4,0,0,1.1161085363209437e-07,1,10,1.0181519651161737
obsequiously,@bsikw7slI,4,0,0,7.196345131392678e-08,1,10,1.0372114097303275
obsequiousness,@bsikw7snIs,4,0,0,3.445747439084677e-08,1,11,0.9719947853514737
observably,@bz3v@blI,4,0,0,0.0001532139706234,1,9,0.7826586348021759
observatory,@bz3v@trI,4,0,0,3.1845897106977894e-05,1,9,0.858463621482127
observingly,@bz3vINlI,4,0,0,8.369399804251755e-05,1,9,0.8118368629355179
obstinacy,QbstIn@sI,4,0,0,1.5650941201903386e-08,1,9,1.2260761801165283
obstinately,Qbst@n@tlI,4,0,0,3.349321685478281e-06,1,10,0.8704269219577905
obstreperous,@bstrEp@r@s,4,0,0,2.30654664276034e-05,1,11,0.7151148945113637
obstructionist,@bstrVkS@nIst,4,0,0,6.419092667414842e-07,1,13,0.7247501873553571
obstructively,@bstrVktIvlI,4,0,0,3.951291898411027e-05,1,12,0.6360405805756203
obstructiveness,@bstrVktIvnIs,4,0,0,1.7621862350851903e-05,1,13,0.6140903289531469
obtrusively,@btrusIvlI,4,0,0,4.504709407684329e-06,1,10,0.8575559300411404
obtrusiveness,@btrusIvnIs,4,0,0,3.254644731079373e-06,1,11,0.7924293174483809
ocarina,Qk@rin@,4,0,0,7.403698463069803e-08,1,7,1.479968194052905
occasionally,@k1ZH@lI,4,0,0,5.798247896381731e-10,1,8,1.5582411627274193
occupancy,QkjUp@nsI,4,0,0,9.876637577910716e-09,1,9,1.2482907736937836
occupational,Qkjup1S@nP,4,0,0,2.0030565269811472e-09,1,10,1.1927532875504379
occupier,QkjUp2@R,4,0,0,0.0002348029862181,1,8,0.8573153081202615
oceanic,5SI{nIk,4,0,0,1.0303857515063324e-05,1,7,1.1737466052028669
oesophagus,IsQf@g@s,4,0,0,2.09677285778874e-09,1,8,1.4884593368474215
offensively,@fEnsIvlI,4,0,0,0.0003300586462778,1,9,0.7456261074247456
offensiveness,@fEnsIvnIs,4,0,0,0.0002087160429351,1,10,0.6909670248573571
offertory,Qf@t@rI,4,0,1,1.0493625666853238e-06,1,7,1.3154715018743217
offhandedly,Qfh{ndIdlI,4,0,0,8.626685358049809e-11,1,10,1.3293382122657516
offhandedness,Qfh{ndIdnIs,4,0,0,3.555908751808547e-11,1,11,1.24347958844638
officeholder,QfIsh5ld@R,4,0,0,2.0136447077445304e-10,1,10,1.292524323589157
officialese,@fIS@liz,4,0,0,1.7208522885231825e-07,1,8,1.249185310899154
officially,@fIS@lI,4,0,1,0.0057077352998167,1,7,0.7818231795309669
officiate,@fISI1t,4,0,1,0.0001682455704246,1,7,1.0004689202846369
officiously,@fIS@slI,4,0,1,0.0002211774363645,1,8,0.8605606576260478
officiousness,@fIS@snIs,4,0,0,0.000122999017922,1,9,0.793258270784695
ogreishly,5g@rISlI,4,0,0,5.3549004854748934e-08,1,8,1.3125593345659587
oleander,5lI{nd@R,4,0,0,6.378804867362115e-09,1,8,1.4280608454966655
oleograph,5lI5gr#f,4,0,0,1.4341057494677396e-06,1,8,1.134080612997775
olfactory,Qlf{kt@rI,4,0,0,2.555830038931974e-10,1,9,1.4246326789753483
oligarchy,QlIg#kI,4,0,1,1.8303219956415467e-12,1,7,2.1380997974430374
Olympiad,5lImpI{d,4,0,0,1.8522639869382387e-16,1,8,2.370190399747318
ominously,QmIn@slI,4,0,0,3.683889667373253e-05,1,8,0.9578649332917726
omnipotence,QmnIp@t@ns,4,0,1,5.050958816414632e-05,1,10,0.7525852253462799
omnipotent,QmnIp@t@nt,4,0,1,5.967320720773189e-05,1,10,0.7453446700771994
omnivorous,QmnIv@r@s,4,0,0,3.725959513469428e-09,1,9,1.2953319943784678
onerously,Qn@r@slI,4,0,2,0.0056492152427182,1,8,0.6846547448327035
ontological,Qnt5lQ_IkP,4,0,0,4.599963730481194e-09,1,10,1.1566471673522642
ontology,QntQl@_I,4,0,0,0.0002145230205439,1,8,0.8622190221996415
opacity,5p{s@tI,4,0,0,3.242497883957457e-07,1,7,1.3883351970830553
openhearted,5p@nh#tId,4,0,0,1.2022905150886714e-09,1,9,1.3499129622179187
operably,Qp@r@blI,4,0,1,6.65109527994398e-05,1,8,0.9257916139469056
operatic,Qp@r{tIk,4,0,0,4.7805649657262124e-09,1,8,1.4437183570603143
operational,Qp@r1S@nP,4,0,0,2.576151450489709e-06,1,9,0.9798060766169778
operative,Qp@r@tIv,4,1,0,1.2309996336087837e-05,2,8,1.0173710196561754
operator,Qp@r1t@R,4,0,0,3.092164160554318e-05,1,8,0.9673704423386285
operetta,Qp@rEt@,4,0,0,4.022087721262326e-09,1,7,1.6606820775203925
ophthalmoscope,QfT{lm@sk5p,4,0,0,7.274822117872846e-19,1,11,1.9424912456718746
opportunely,Qp@tjunlI,4,0,0,8.19441096149584e-06,1,9,0.923967593362483
opportunist,Qp@tjunIst,4,0,0,7.524049799427854e-07,1,10,0.9352774419565859
oppressively,@prEsIvlI,4,0,1,0.0026927470285405,1,9,0.6443367250668768
oppressiveness,@prEsIvnIs,4,0,2,0.0020807638858801,1,10,0.5911003279360062
opprobriously,@pr5br7slI,4,0,0,5.7630327908036006e-11,1,10,1.346857499025886
optically,QptIk@lI,4,0,0,0.0080381898288743,1,8,0.6655084778372362
optimism,QptImIz@m,4,0,0,1.2498602570023795e-09,1,9,1.3480405135905356
optimistic,QptImIstIk,4,0,1,5.923216485092609e-10,1,10,1.245666847514526
optimistical,QptImIstIkP,4,0,1,6.98222914632929e-11,1,11,1.2168392712100413
opulently,QpjUl@ntlI,4,0,0,4.189733809423717e-05,1,10,0.7607039649544342
oracular,Qr{kjUl@R,4,0,0,1.0655938980349237e-07,1,9,1.1335149284453359
orangutan,$r{N@t{n,4,0,0,2.0926987388261792e-14,1,8,2.11356492104229
oratorical,Qr@tQrIkP,4,0,0,3.4051901328414956e-11,1,9,1.5218983016270844
oratory,Qr@t@rI,4,0,1,0.0002066413232954,1,7,0.9877155580853356
orderliness,$d@lInIs,4,0,0,3.183236652986894e-05,1,8,0.9657946442651318
oregano,QrIg#n5,4,0,0,1.2382100133117138e-11,1,7,2.0194902527315013
organism,$g@nIz@m,4,0,0,0.0004056014013224,1,8,0.8276408292669745
organization,$g@n2z1SH,4,0,0,0.0017515757284009,1,9,0.6650885735976606
organizer,$g@n2z@R,4,0,0,9.277161128595864e-05,1,8,0.9077263726618848
orgiastic,$_I{stIk,4,0,0,3.743418435327326e-11,1,8,1.7069947132644963
orientate,$rIEnt1t,4,0,0,8.664758304658605e-06,1,8,1.036433703492336
orientation,$rIEnt1SH,4,0,0,0.0001104914075842,1,9,0.7984330638552124
originate,@rI_@n1t,4,0,0,1.268769932399259e-07,1,8,1.2657304003541614
ornamentation,$n@mEnt1SH,4,0,0,1.867688805915146e-09,1,10,1.1957921565091172
orthodontic,$T5dQntIk,4,1,0,2.8480125662646743e-16,2,9,2.0860760199683566
orthodoxy,$T@dQksI,4,0,1,0.0001151218559855,1,8,0.8960085372839912
orthographic,$T5gr{fIk,4,0,1,3.064215162244244e-07,1,9,1.0825452026347806
orthographical,$T5gr{fIkP,4,0,1,8.162375261224292e-08,1,10,1.0317409523545198
orthography,$TQgr@fI,4,0,0,0.0005417627073839,1,8,0.8119271217697341
orthopaedic,$T5pidIk,4,0,1,1.9091589785578528e-11,1,8,1.7435479983325288
orthopaedics,$T5pidIks,4,0,1,8.490364737280822e-14,1,9,1.8111444148258284
oscillator,QsIl1t@R,4,0,0,2.9335614376518164e-08,1,8,1.345228861603824
oscillograph,@sIl5gr#f,4,0,0,6.797539550390563e-09,1,9,1.2663193708643432
oscilloscope,@sIl5sk5p,4,0,0,4.889995306410149e-12,1,9,1.6155464042939889
ossification,QsIfIk1SH,4,0,0,7.061510211958501e-07,1,9,1.042258721046253
ostensibly,QstEns@blI,4,0,0,4.81873749779931e-06,1,10,0.8546292812297869
ostentatious,QstEnt1S@s,4,0,0,6.0656156284210385e-09,1,10,1.144635119484909
ostracism,Qstr@sIz@m,4,0,0,1.4194029702628198e-07,1,10,1.0077120371213948
otherworldly,VD@w3ldlI,4,0,0,3.4023016675525403e-10,1,9,1.4108281403220668
