PhonDISC,wordform_frequency
"2""kQn5kl{stIk",13
"2""k{JIN",10
"2""k{JINlI",1
"2""l2n@R",1
"2""sQsIliztr2{NgP",1
"2""wItnIs",21
"2#r1\391
Ir#n\191
Ir1nj@n\30
Ir1nj@n\75
Ir#k\101
Ir#kI\41
Ir#kI\48
Ir{s@bIl@tI",5
"25ju\3
2pi1",1
25t@,14
2@R,31
2@fUl,2
2@l@nd,697
2@n,1358
"2@n""mVNg@R",17
"2@n""mVNg@rI",13
2@n1_,1
2@n2z,4
"2@n6t\0
2@nr{SHz",1
"2@ngr1\2
2@ngr1",16
"2@nh$s\0
2rQnIk\147
2rQnIkP\35
2rQnIk@lI\185
2@nIN\68
2@nINb$d\4
2@nlVN",1
"2@nk3tH\0
2@nf6ndrI",1
2@nkl{d,8
2@nm5ld,1
2@ns2d,4
2@nst5n,16
2@nw3k,23
2@nw3ks,3
2@nw8R,1
2@nz,8
2@r@nI,250
2@rI,17
2@rIS,582
"2@rIS""wUm@n",4
2@rISm@n,48
"2@rISsEt@R\0
2@rISstju",1
2@rIs,49
2D@R,5305
"2D@r$R\0
2D@r$R",3
2Qn@sf7R,4
2SQt,1
2b#T,3
2b$l,60
2b7r7,7
2b7r7n,15
2bEks,21
2bIs,7
2br6,324
"2br6""pEnsP",1
2d,4432
2d7,7133
2d7l,1038
2d7l2z,55
2d7lI,167
2d7lIst,62
2d7lIz@m,101
"2d7lQ_Ik@lI\30
2dIQl@_Ist",13
"2d@l2z1SH\3
2d@l2z\21
IdIlIk\0
IdIl\23
IdIlIk\38
IdIlIk@lI\1
2i",425
2dEm,1
2dEnt@tI,705
2dEnt@tIk#d,1
"2dEnt@tIs@""tIfIk@t",1
2dEntIf2,1224
2dEntIf2wID,1
2dEntIk@lI,10
2dEntIkIt,10
2dEntIkP,365
"2dIQl@_I\849
2dz\1
IdEst",1
2dP,126
2dPnIs,51
2dQl@t@R,7
2dQl@tr@s,6
2dQl@tr@slI,2
2dQl@trI,34
2dQl@trIs,1
2dik#d,1
2dl@R,10
2dlI,81
2drQp,1
2fUl,7
2gl#s,12
"2judi\6
2v\5608
2vId\3
2v@rI\201
2v@rIt6@R",1
2kQn,63
2kQn5kl{st,6
2kVp,1
2l,4805
2lEks,2
2lId,199
2lIs,4
2lIt,9
2l{S,62
2m,12062
2pis,8
"2prIDI\0
IpsIdIksIt",1
2r1t,21
2r1tlI,1
2r1tnIs,1
"2s""sk1t@R",1
"2s""sk1tIN",3
2s$R,8
2s2t,50
2s5T3m,1
2s5t5p,13
"2s@l1SHIz@m\6
2s@l1SHIst",9
2sI,164
2sIN,43
2sIkP,16
2sIlI,19
2sQsIliz,3
2sS5,1
2sSit,1
"2sVp\0
2sw$t@R",1
2sh6s,1
